1648670352.216013, sdrt-health/mac:02010b41cdec/state, online
1648670368.158893, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648670368.229018, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648670368.229308, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648670368.247184, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648670368.292445, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648670368.292838, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648670368.305833, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670368.324258, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648670368.35012, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 94
1648670368.350296, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670368.362664, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648670368.509715, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648670368.548926, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648670368.601071, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648670368.601232, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648670368.615734, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648670368.628681, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648670368.670292, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648670368.725665, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648670368.725843, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670368.741262, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648670368.771903, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648670368.772138, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 94
1648670369.472706, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 84
1648670369.562667, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648670369.599823, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670369.652757, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648670369.653042, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648670369.665725, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648670369.688486, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648670369.738391, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 94
1648670369.76394, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670369.764141, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670369.776996, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670369.777469, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670370.215738, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670370.276659, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670370.304147, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670370.304436, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648670370.304703, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648670370.3286, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670370.874819, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 82
1648670370.924691, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 84
1648670370.955129, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 84
1648670370.955404, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 84
1648670371.120641, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648670371.160223, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648670371.209098, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670371.209334, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 94
1648670371.222618, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648670371.263692, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648670371.295653, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648670371.330618, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670371.560241, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670372.164758, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 94
1648670372.207595, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670372.234143, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648670372.234316, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670372.247283, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648670372.423697, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 94
1648670372.423887, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 94
1648670372.458241, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648670372.521084, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648670372.521337, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670372.53407, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670372.543942, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648670372.546675, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648670372.590375, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648670372.64561, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648670372.645814, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648670372.658005, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648670372.888592, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670373.214835, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670373.257896, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 94
1648670373.283939, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 94
1648670373.284128, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648670373.31065, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670373.47419, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670373.474504, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648670373.49779, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670373.549118, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 94
1648670373.574935, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 94
1648670373.575168, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648670373.575298, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670373.709645, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 94
1648670373.757255, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670373.800319, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 94
1648670373.863179, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 94
1648670373.863358, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648670373.891396, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648670373.944137, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670373.944326, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670373.957938, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
