AP1_280_Antenna1,AP1_290_Antenna1,AP1_300_Antenna1,AP1_280_Antenna2,AP1_290_Antenna2,AP1_300_Antenna2,AP1_280_Antenna3,AP1_290_Antenna3,AP1_300_Antenna3,AP1_280_Antenna4,AP1_290_Antenna4,AP1_300_Antenna4,AP1_280_Antenna5,AP1_290_Antenna5,AP1_300_Antenna5,Anchor1_280_Antenna1,Anchor1_290_Antenna1,Anchor1_300_Antenna1,Anchor1_280_Antenna2,Anchor1_290_Antenna2,Anchor1_300_Antenna2,Anchor1_280_Antenna3,Anchor1_290_Antenna3,Anchor1_300_Antenna3,Anchor1_280_Antenna4,Anchor1_290_Antenna4,Anchor1_300_Antenna4,Anchor1_280_Antenna5,Anchor1_290_Antenna5,Anchor1_300_Antenna5,Anchor2_280_Antenna1,Anchor2_290_Antenna1,Anchor2_300_Antenna1,Anchor2_280_Antenna2,Anchor2_290_Antenna2,Anchor2_300_Antenna2,Anchor2_280_Antenna3,Anchor2_290_Antenna3,Anchor2_300_Antenna3,Anchor2_280_Antenna4,Anchor2_290_Antenna4,Anchor2_300_Antenna4,Anchor2_280_Antenna5,Anchor2_290_Antenna5,Anchor2_300_Antenna5,Anchor3_280_Antenna1,Anchor3_290_Antenna1,Anchor3_300_Antenna1,Anchor3_280_Antenna2,Anchor3_290_Antenna2,Anchor3_300_Antenna2,Anchor3_280_Antenna3,Anchor3_290_Antenna3,Anchor3_300_Antenna3,Anchor3_280_Antenna4,Anchor3_290_Antenna4,Anchor3_300_Antenna4,Anchor3_280_Antenna5,Anchor3_290_Antenna5,Anchor3_300_Antenna5,Anchor4_280_Antenna1,Anchor4_290_Antenna1,Anchor4_300_Antenna1,Anchor4_280_Antenna2,Anchor4_290_Antenna2,Anchor4_300_Antenna2,Anchor4_280_Antenna3,Anchor4_290_Antenna3,Anchor4_300_Antenna3,Anchor4_280_Antenna4,Anchor4_290_Antenna4,Anchor4_300_Antenna4,Anchor4_280_Antenna5,Anchor4_290_Antenna5,Anchor4_300_Antenna5,AP1_distance_Antenna1,AP1_distance_Antenna2,AP1_distance_Antenna3,AP1_distance_Antenna4,AP1_distance_Antenna5,AP1_Longitude,AP1_Latitude
0,0,0,0,0,0,0,0,0,3.4033,37.8643,52.6475,3.833,1.3244,7.0692,0,0,0,0,0,0,0,0,0,3.0485,42.1113,54.3882,1.2376,1.5767,4.5393,0,0,0,0,0,0,0,0,0,1.6321,4.5965,14.2795,0,18.0421,31.2921,0,0,0,0,0,0,0,0,0,1.2376,1.302,3.783,6.1169,46.3509,55.6765,0,0,0,0,0,0,0,0,0,1.4789,0.4273,2.1182,139.1668,118.3309,99.1484,29.22,21.79,20.53,4.14,6.4,-8.50100432,40.89702134
0,0,0,0,0,0,0,0,0,2.1662,27.1789,44.2831,0,6.5511,8.2092,0,0,0,0,0,0,0,0,0,1.8197,42.6786,57.8257,1.2376,1.5767,4.5393,0,0,0,0,0,0,0,0,0,0.9408,1.6788,5.8133,1.2652,18.6479,33.0887,0,0,0,0,0,0,0,0,0,1.2376,1.302,3.3284,9.8342,43.1435,82.0997,0,0,0,0,0,0,0,0,0,1.9336,1.2418,0.8941,134.0753,122.2409,88.6892,29.06,21.76,20.48,4.34,6.2,-8.50100666,40.89702083
0,0,0,0,0,0,0,0,0,1.9747,25.912,37.1364,3.9264,1.0294,7.9232,0,0,0,0,0,0,0,0,0,1.7842,40.5562,53.4365,1.2376,1.5767,4.5393,0,0,0,0,0,0,0,0,0,6.2926,1.0389,14.0701,0.7193,16.0585,35.4062,0,0,0,0,0,0,0,0,0,1.2376,1.302,3.1237,0,48.426,64.8891,0,0,0,0,0,0,0,0,0,1.1173,0.0876,1.6512,130.7792,108.2688,102.5665,28.97,21.81,20.51,4.52,6.03,-8.50100834,40.89701982
0,0,0,0,0,0,0,0,0,1.5197,17.9496,33.7157,1.5747,4.7864,13.3839,0,0,0,0,0,0,0,0,0,2.3575,42.1422,54.1456,1.2376,1.5767,4.5393,0,0,0,0,0,0,0,0,0,1.9901,7.8742,5.6832,0.2928,16.4516,36.6166,0,0,0,0,0,0,0,0,0,1.2376,1.302,3.7584,3.819,37.5648,75.9555,0,0,0,0,0,0,0,0,0,1.2935,0.8332,0.382,141.2579,120.1588,92.9744,28.88,21.87,20.56,4.73,5.82,-8.50101035,40.89701855
0,0,0,0,0,0,0,0,0,1.5234,15.5553,24.8324,0.5303,4.8387,13.6926,0,0,0,0,0,0,0,0,0,2.0211,42.0463,55.964,1.2376,1.5767,4.5393,0,0,0,0,0,0,0,0,0,0,2.7282,7.1993,0.9399,18.113,34.3036,0,0,0,0,0,0,0,0,0,1.2376,1.302,3.5643,6.2181,42.0207,39.7505,0,0,0,0,0,0,0,0,0,1.953,0,0.944,136.491,108.9176,73.0039,28.78,21.89,20.57,4.9,5.65,-8.50101203,40.89701779
0,0,0,0,0,0,0,0,0,3.6709,7.0345,0,0.1679,6.2079,40.5597,0,0,0,0,0,0,0,0,0,0,40.6629,57.6378,1.2376,1.5767,4.5393,0,0,0,0,0,0,0,0,0,4.8888,7.5485,4.2535,1.246,17.6856,31.8781,0,0,0,0,0,0,0,0,0,1.2376,1.302,3.25,9.0786,46.6924,70.7775,0,0,0,0,0,0,0,0,0,2.1288,0.0828,2.8969,129.9558,128.4457,93.7838,28.65,21.92,20.58,5.12,5.43,-8.50101437,40.89701678
0,0,0,0,0,0,0,0,0,0,11.0324,14.8316,0.234,3.5585,7.831,0,0,0,0,0,0,0,0,0,1.9805,44.1907,56.2753,1.2376,1.5767,4.5393,0,0,0,0,0,0,0,0,0,3.2301,0,8.017,1.667,17.5585,34.3246,0,0,0,0,0,0,0,0,0,1.2376,1.302,3.6647,5.0614,52.0318,65.4198,0,0,0,0,0,0,0,0,0,1.1175,0.007,2.3739,139.658,124.9709,102.63,28.49,21.9,20.55,5.33,5.22,-8.50101672,40.89701627
0,0,0,0,0,0,0,0,0,3.077,7.2468,14.6786,1.0866,10.7924,11.141,0,0,0,0,0,0,0,0,0,0,40.7933,52.264,1.2376,1.5767,4.5393,0,0,0,0,0,0,0,0,0,0.3053,3.5543,16.5618,1.3924,17.936,30.1767,0,0,0,0,0,0,0,0,0,1.2376,1.302,3.9079,3.0171,42.9076,66.3387,0,0,0,0,0,0,0,0,0,1.5412,1.5876,1.3023,144.0251,126.929,93.54,28.37,21.92,20.55,5.51,5.03,-8.50101873,40.89701551
0,0,0,0,0,0,0,0,0,1.8252,5.3998,11.0918,3.1288,18.7535,32.8511,0,0,0,0,0,0,0,0,0,3.0207,40.3718,49.6506,1.2376,1.5767,4.5393,0,0,0,0,0,0,0,0,0,5.5121,6.1049,5.9534,0.6861,16.1328,34.8658,0,0,0,0,0,0,0,0,0,1.2376,1.302,4.8652,0,55.4746,66.1342,0,0,0,0,0,0,0,0,0,0.4271,0,1.6793,136.985,112.9211,116.0064,28.26,22.01,20.62,5.77,4.79,-8.50102108,40.89701399
0,0,0,0,0,0,0,0,0,0,3.8514,10.1382,2.4112,20.9364,31.0982,0,0,0,0,0,0,0,0,0,2.9356,41.0354,56.7985,1.2376,1.5767,4.5393,0,0,0,0,0,0,0,0,0,3.0665,7.3468,11.3377,0.3789,18.2802,26.9333,0,0,0,0,0,0,0,0,0,1.2376,1.302,3.7786,0,52.4338,61.8262,0,0,0,0,0,0,0,0,0,2.8969,1.8924,1.7053,133.7501,131.6836,100.8602,28.11,21.95,20.55,5.92,4.63,-8.50102309,40.89701399
