RSSI_Antenna_1,RSSI_Antenna_2,RSSI_Antenna_3,RSSI_Antenna_4,RSSI_Antenna_5,RSSI_Antenna_6,RSSI_Antenna_7,RSSI_Antenna_8,RSSI_Antenna_9,RSSI_Antenna_10,AssetPoint_Longitude,AssetPoint_Latitude
-59.38,-61.49,-58.7,-72.77,-73.1,-170,-170,-71.91,-170,-170,-8.65966805,40.63106746
-59.23,-61.68,-58.49,-72.72,-71.0,-170,-170,-72.54,-170,-170,-8.65967127,40.63106985
-59.9,-61.82,-58.02,-72.58,-72.88,-170,-170,-71.6,-170,-170,-8.65967864,40.6310718
-59.96,-63.55,-57.57,-72.4,-72.79,-170,-170,-72.28,-170,-40.69,-8.65968181,40.63107681
-62.54,-64.63,-56.78,-72.12,-72.54,-170,-170,-72.0,-170,-41.61,-8.65969391,40.63108248
-64.66,-63.09,-56.28,-72.04,-72.14,-170,-170,-71.9,-170,-43.35,-8.65969686,40.63108782
-64.91,-63.62,-55.45,-71.84,-72.23,-170,-170,-71.63,-170,-45.37,-8.65970254,40.63109529
-63.2,-64.18,-54.4,-71.63,-72.0,-170,-170,-71.4,-170,-47.64,-8.65971057,40.63110339
-63.51,-64.74,-53.2,-71.39,-71.72,-170,-170,-71.17,-170,-49.35,-8.65971866,40.63111095
-64.11,-65.25,-51.77,-70.69,-71.52,-170,-170,-70.71,-170,-50.95,-8.6597293,40.6311182
-64.38,-63.32,-50.76,-70.95,-71.34,-170,-170,-70.62,-170,-51.7,-8.65973529,40.63112311
-64.65,-64.0,-49.31,-70.69,-71.14,-170,-170,-70.09,-170,-53.05,-8.65974244,40.63113033
-68.97,-66.35,-47.62,-70.47,-70.81,-170,-170,-70.05,-170,-54.0,-8.6597504,40.63113638
-69.19,-68.74,-46.02,-70.25,-70.72,-170,-170,-69.96,-170,-54.79,-8.65975556,40.63114235
-69.63,-69.16,-43.44,-69.86,-70.5,-170,-170,-69.53,-170,-55.71,-8.6597633,40.63114921
-69.76,-69.37,-42.12,-69.84,-70.34,-170,-170,-69.42,-170,-56.13,-8.65976593,40.63115315
-69.88,-69.54,-40.16,-69.63,-70.28,-170,-170,-69.41,-170,-56.43,-8.65977015,40.63115648
-70.22,-71.6,-38.53,-69.68,-70.01,-170,-170,-69.28,-170,-56.73,-8.65978095,40.63115417
-70.52,-69.36,-37.63,-69.37,-69.82,-170,-170,-69.13,-170,-58.82,-8.65978981,40.63115074
-70.6,-67.51,-170,-69.68,-69.66,-60.37,-170,-69.09,-170,-170,-8.65980293,40.63114534
-67.09,-71.44,-170,-69.58,-69.64,-61.15,-170,-68.97,-170,-170,-8.65981189,40.63114032
-65.9,-71.55,-170,-69.76,-67.43,-61.7,-170,-68.93,-170,-170,-8.65982306,40.63113848
-67.94,-73.8,-170,-67.62,-67.09,-64.11,-170,-66.71,-170,-170,-8.65984182,40.63113653
-68.11,-76.22,-170,-67.16,-66.76,-60.48,-170,-66.39,-170,-170,-8.6598511,40.63114294
-68.38,-77.41,-170,-67.17,-66.58,-60.52,-170,-66.23,-170,-170,-8.65985569,40.63114597
-68.33,-76.55,-170,-67.19,-66.42,-60.5,-170,-66.06,-170,-170,-8.6598623,40.63114822
-68.46,-76.7,-170,-67.09,-66.22,-59.21,-48.4,-65.93,-170,-170,-8.65987187,40.6311474
-69.05,-74.99,-170,-67.05,-65.89,-61.23,-48.19,-65.47,-170,-170,-8.65988104,40.63114965
-69.09,-74.91,-170,-66.98,-65.82,-61.45,-47.95,-65.62,-170,-170,-8.65988587,40.63115019
-69.28,-170,-170,-66.95,-65.67,-61.69,-47.64,-65.5,-170,-170,-8.65989297,40.63115035
-69.45,-170,-170,-66.84,-65.45,-60.7,-47.47,-65.38,-170,-170,-8.65989931,40.63115031
-69.56,-170,-170,-66.85,-65.28,-62.09,-47.81,-65.23,-170,-170,-8.65990649,40.63115239
-69.88,-170,-170,-66.61,-64.99,-62.33,-48.04,-65.0,-170,-170,-8.65991623,40.63115445
-71.28,-170,-170,-66.63,-64.79,-62.41,-48.97,-64.69,-170,-170,-8.65992271,40.63115731
-76.29,-170,-170,-66.35,-64.4,-62.64,-50.34,-64.43,-170,-170,-8.65993062,40.63116402
-76.44,-170,-170,-66.21,-63.99,-62.34,-51.18,-64.19,-170,-170,-8.65993794,40.63116805
-76.68,-170,-170,-66.02,-63.71,-63.02,-52.27,-63.84,-170,-170,-8.65994789,40.63117306
-76.88,-170,-170,-65.79,-63.29,-63.26,-53.04,-63.33,-170,-170,-8.65995627,40.63117672
-76.96,-170,-170,-65.69,-63.21,-63.18,-53.52,-63.36,-170,-170,-8.659958,40.631181
-77.04,-170,-170,-65.39,-62.86,-63.29,-54.32,-62.56,-170,-170,-8.65996235,40.63118626
-77.28,-170,-170,-65.31,-62.5,-62.13,-55.12,-62.7,-170,-170,-8.6599706,40.63119152
-77.18,-170,-170,-60.15,-62.52,-63.52,-55.11,-62.67,-170,-170,-8.6599706,40.63119152
-77.39,-170,-170,-65.09,-62.27,-63.57,-55.58,-62.45,-170,-170,-8.65997466,40.63119544
-77.41,-170,-170,-64.86,-61.96,-63.68,-55.98,-62.05,-170,-170,-8.65997882,40.63120133
-77.65,-170,-170,-64.69,-61.49,-63.59,-56.92,-61.54,-170,-170,-8.6599843,40.63120724
-75.74,-170,-170,-63.82,-61.1,-63.99,-57.44,-61.36,-170,-170,-8.65999156,40.63121197
-75.97,-170,-170,-64.27,-60.82,-64.18,-57.97,-60.05,-170,-170,-8.65999777,40.63121613
-76.09,-170,-170,-64.1,-60.38,-63.71,-58.57,-60.56,-170,-170,-8.66000409,40.63122229
-73.95,-170,-170,-63.92,-60.11,-64.43,-58.83,-60.04,-170,-170,-8.6600072,40.63122667
-74.32,-170,-170,-63.8,-59.56,-64.58,-59.33,-59.92,-56.04,-170,-8.66001471,40.63122986
-74.5,-170,-170,-63.59,-59.13,-64.85,-59.85,-59.44,-56.52,-170,-8.66002189,40.63123627
-74.65,-170,-170,-63.27,-58.66,-64.97,-60.28,-58.98,-56.96,-170,-8.6600264,40.63124169
-74.76,-170,-170,-63.18,-58.16,-65.18,-60.79,-58.45,-57.47,-170,-8.66003359,40.63124715
-74.84,-170,-170,-62.96,-57.61,-65.32,-61.12,-57.94,-57.34,-170,-8.66003802,40.63125171
-75.02,-170,-170,-62.91,-56.52,-65.5,-61.44,-57.58,-58.16,-170,-8.6600447,40.63125493
-75.2,-170,-170,-62.52,-56.75,-65.67,-60.89,-57.16,-58.63,-170,-8.66004997,40.63126163
-75.33,-170,-170,-62.56,-56.19,-65.12,-62.18,-56.73,-58.45,-170,-8.66005645,40.63126545
-75.36,-170,-170,-62.42,-55.75,-65.92,-62.42,-56.34,-59.31,-170,-8.66006163,40.63126832
-75.49,-170,-170,-62.3,-55.01,-66.19,-62.72,-55.94,-59.79,-170,-8.66006817,40.63127312
-75.58,-170,-170,-62.26,-54.48,-66.35,-62.97,-55.61,-59.81,-170,-8.66007416,40.6312762
-76.04,-170,-170,-62.42,-52.31,-66.86,-170,-170,-60.82,-170,-8.66009667,40.63128176
-75.68,-170,-170,-62.19,-50.77,-67.2,-170,-170,-61.83,-170,-8.66010686,40.63129168
-76.35,-170,-170,-62.18,-49.79,-67.44,-170,-170,-62.18,-170,-8.66011422,40.63129479
-76.36,-170,-170,-170,-48.21,-67.69,-170,-170,-62.63,-170,-8.66012501,40.63129909
-76.72,-170,-170,-170,-46.33,-67.93,-170,-170,-63.01,-170,-8.66013418,40.63130104
-76.8,-170,-170,-170,-45.2,-68.12,-170,-170,-63.31,-170,-8.66014206,40.63130299
-77.0,-170,-170,-170,-42.48,-68.29,-170,-170,-63.69,-170,-8.66015377,40.63130298
-77.11,-170,-170,-170,-40.35,-68.39,-170,-170,-63.98,-170,-8.66016072,40.63130632
-77.1,-170,-170,-170,-41.29,-68.14,-170,-170,-63.81,-170,-8.6601579,40.63131245
-79.05,-170,-170,-170,-43.91,-68.29,-170,-170,-63.79,-170,-8.66015116,40.6313186
-80.84,-170,-170,-170,-50.22,-67.87,-66.02,-170,-63.35,-170,-8.66012189,40.63133768
-80.79,-170,-170,-170,-52.03,-67.49,-66.16,-170,-63.27,-170,-8.66011044,40.6313486
-82.64,-82.39,-170,-170,-55.23,-67.15,-66.39,-170,-63.08,-170,-8.66008588,40.63136646
-82.34,-84.4,-170,-170,-57.3,-66.9,-66.53,-170,-62.9,-170,-8.66006198,40.63138112
-82.4,-82.46,-170,-170,-58.0,-66.9,-66.77,-170,-61.93,-170,-8.66005608,40.63138792
-82.36,-83.43,-170,-170,-59.44,-66.59,-66.9,-170,-62.98,-74.27,-8.66003487,40.63139974
-82.14,-84.44,-170,-170,-59.49,-66.45,-66.89,-170,-62.9,-71.75,-8.66002654,40.63140297
-82.22,-86.52,-170,-170,-59.92,-66.43,-67.0,-170,-62.96,-72.25,-8.66002476,40.63140425
-82.26,-86.48,-170,-170,-60.17,-66.29,-67.06,-170,-62.87,-72.26,-8.66002358,40.63140557
-82.27,-82.53,-170,-170,-60.3,-66.37,-66.7,-170,-63.04,-72.29,-8.66002196,40.63140764
-82.29,-82.57,-170,-170,-60.47,-66.34,-67.17,-170,-63.07,-72.16,-8.66001958,40.63140972
-84.28,-82.57,-170,-170,-60.56,-66.39,-67.2,-170,-63.04,-72.31,-8.66001667,40.63141186
-83.24,-82.59,-170,-170,-60.89,-65.16,-67.22,-170,-63.12,-72.31,-8.66000986,40.63141493
-82.18,-82.42,-170,-48.04,-61.27,-66.2,-67.26,-170,-62.81,-72.29,-8.66000408,40.63141644
-82.08,-82.5,-170,-47.35,-61.53,-66.07,-66.79,-170,-63.0,-72.24,-8.65999785,40.63141726
-82.02,-80.48,-170,-46.92,-61.72,-65.89,-67.21,-170,-62.71,-72.17,-8.65999195,40.63141671
-79.96,-82.46,-170,-46.28,-61.84,-65.77,-67.22,-170,-62.8,-72.12,-8.65998472,40.63141754
-79.81,-80.45,-170,-45.36,-62.25,-65.63,-67.21,-170,-62.71,-72.06,-8.659977,40.63141938
-79.83,-78.41,-170,-45.53,-62.4,-65.51,-67.18,-170,-62.63,-71.82,-8.65997255,40.6314183
-79.76,-78.37,-170,-45.48,-62.5,-65.27,-65.86,-170,-62.58,-71.96,-8.65996813,40.63141806
-79.71,-78.35,-170,-44.72,-62.74,-65.3,-67.21,-170,-62.59,-71.96,-8.65996206,40.63141991
-79.67,-80.33,-170,-45.01,-59.82,-65.2,-67.2,-170,-62.41,-71.89,-8.65995855,40.63141974
-79.61,-80.26,-170,-45.48,-62.95,-65.1,-67.14,-170,-62.43,-71.69,-8.65995484,40.63141854
-79.52,-80.23,-170,-46.33,-63.03,-64.76,-67.03,-170,-62.21,-71.67,-8.65995095,40.63141597
-79.4,-79.98,-170,-47.58,-63.01,-63.24,-66.87,-170,-61.81,-71.6,-8.65994711,40.63141111
-79.3,-79.98,-170,-48.66,-62.83,-64.47,-66.67,-170,-61.42,-71.38,-8.65994405,40.63140635
