Antenna1_280,Antenna1_290,Antenna1_300,Antenna2_280,Antenna2_290,Antenna2_300,Antenna3_280,Antenna3_290,Antenna3_300,Antenna4_280,Antenna4_290,Antenna4_300,Antenna5_280,Antenna5_290,Antenna5_300,AssetPoint_Longitude,AssetPoint_Latitude
126.99192339444758,121.74124439077214,111.08448998512276,0,0,0,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,-8.50109924,40.89723585
136.28191343797363,117.56015444273869,91.21942243695804,0,0,0,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,-8.50109924,40.89723585
135.2448792228868,110.74852594064839,100.10860428226583,0,0,0,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,-8.50109924,40.89723585
134.8941085738837,123.45484635975181,85.39685434501496,0,0,0,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,-8.50109924,40.89723585
130.80440177290745,107.28535258972865,96.80688083355577,0,0,0,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,-8.50109924,40.89723585
139.04836459319642,113.37254866253973,117.02772467226217,0,0,0,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,-8.50109924,40.89723585
133.45948328380788,124.91299606442213,98.96058682484734,0,0,0,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,-8.50109924,40.89723585
132.47064205633802,100.2259413741228,80.08646503159717,0,0,0,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,-8.50109924,40.89723585
127.2744673001996,110.88196399857345,86.49494634105831,0,0,0,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,-8.50109924,40.89723585
130.34054469381658,104.32676089022107,86.43023970955932,0,0,0,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,-8.50109924,40.89723585
126.48265247343356,107.64374915336673,94.33003367603256,0,0,0,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,-8.50109924,40.89723585
136.72120766685302,105.7920544807517,86.47225016056917,0,0,0,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,-8.50109924,40.89723585
141.83908675998842,106.51491815440683,93.13351529307823,0,0,0,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,-8.50109924,40.89723585
139.6848381475136,104.6233294660435,96.71406778075648,0,0,0,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,-8.50109924,40.89723585
117.81091282115705,121.87406319855864,99.01283016138997,0,0,0,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,-8.50109924,40.89723585
123.81315389457225,128.62215910506225,107.27938810859459,0,0,0,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,-8.50109924,40.89723585
119.67910503528789,116.31587674560842,100.46647555788114,0,0,0,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,-8.50109924,40.89723585
124.94261924070233,91.88420278018008,100.84483430296679,0,0,0,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,-8.50109924,40.89723585
129.61833969773264,103.97471096314145,106.92832618169776,0,0,0,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,-8.50109924,40.89723585
139.99995631909508,103.69946466330993,96.48063312002556,0,0,0,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,-8.50109924,40.89723585
125.42212526890435,108.38890589758319,99.98935152203877,0,0,0,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,-8.50109924,40.89723585
