AP1_280_Antenna1,AP1_290_Antenna1,AP1_300_Antenna1,Anchor1_280_Antenna1,Anchor1_290_Antenna1,Anchor1_300_Antenna1,Anchor2_280_Antenna1,Anchor2_290_Antenna1,Anchor2_300_Antenna1,Anchor3_280_Antenna1,Anchor3_290_Antenna1,Anchor3_300_Antenna1,Anchor4_280_Antenna1,Anchor4_290_Antenna1,Anchor4_300_Antenna1,AP1_280_Antenna2,AP1_290_Antenna2,AP1_300_Antenna2,Anchor1_280_Antenna2,Anchor1_290_Antenna2,Anchor1_300_Antenna2,Anchor2_280_Antenna2,Anchor2_290_Antenna2,Anchor2_300_Antenna2,Anchor3_280_Antenna2,Anchor3_290_Antenna2,Anchor3_300_Antenna2,Anchor4_280_Antenna2,Anchor4_290_Antenna2,Anchor4_300_Antenna2,AP1_280_Antenna3,AP1_290_Antenna3,AP1_300_Antenna3,Anchor1_280_Antenna3,Anchor1_290_Antenna3,Anchor1_300_Antenna3,Anchor2_280_Antenna3,Anchor2_290_Antenna3,Anchor2_300_Antenna3,Anchor3_280_Antenna3,Anchor3_290_Antenna3,Anchor3_300_Antenna3,Anchor4_280_Antenna3,Anchor4_290_Antenna3,Anchor4_300_Antenna3,AP1_280_Antenna4,AP1_290_Antenna4,AP1_300_Antenna4,Anchor1_280_Antenna4,Anchor1_290_Antenna4,Anchor1_300_Antenna4,Anchor2_280_Antenna4,Anchor2_290_Antenna4,Anchor2_300_Antenna4,Anchor3_280_Antenna4,Anchor3_290_Antenna4,Anchor3_300_Antenna4,Anchor4_280_Antenna4,Anchor4_290_Antenna4,Anchor4_300_Antenna4,AP1_280_Antenna5,AP1_290_Antenna5,AP1_300_Antenna5,Anchor1_280_Antenna5,Anchor1_290_Antenna5,Anchor1_300_Antenna5,Anchor2_280_Antenna5,Anchor2_290_Antenna5,Anchor2_300_Antenna5,Anchor3_280_Antenna5,Anchor3_290_Antenna5,Anchor3_300_Antenna5,Anchor4_280_Antenna5,Anchor4_290_Antenna5,Anchor4_300_Antenna5,AP1_Longitude,AP1_Latitude
0,0,0,0,0,0,0,0,0,155.5061,116.3405,91.4077,1.0763,0.5635,0,0,0,0,0,0,0,0,0,0,1.4044,41.7919,52.4883,1.2376,1.5767,4.5393,0,0,0,0,0,0,0,0,0,3.9485,3.952,17.6478,3.0079,16.4621,30.8854,0,0,0,0,0,0,0,0,0,1.2376,1.302,3.2717,6.9878,53.498,51.2371,0,0,0,0,0,0,0,0,0,0.6837,0,1.9015,131.9088,103.6247,107.7879,-8.50097783,40.89703249
0,0,0,0,0,0,0,0,0,135.5887,138.163,100.1928,0.683,0.6131,2.4249,0,0,0,0,0,0,0,0,0,2.891,42.0653,56.3858,1.2376,1.5767,4.5393,0,0,0,0,0,0,0,0,0,1.0083,5.2432,8.0369,1.3218,15.5875,29.6593,0,0,0,0,0,0,0,0,0,1.2376,1.302,3.5905,8.4502,36.3229,79.3666,0,0,0,0,0,0,0,0,0,2.2754,1.1626,0.5456,140.0455,116.0993,99.5507,-8.50097984,40.89703173
0,0,0,0,0,0,0,0,0,137.9335,112.5113,126.2247,1.2376,0.6574,1.041,0,0,0,0,0,0,0,0,0,0.8289,43.8012,56.5945,1.2376,1.5767,4.5393,0,0,0,0,0,0,0,0,0,0,3.4653,8.2314,0.2857,18.5665,31.1903,0,0,0,0,0,0,0,0,0,1.2376,1.302,3.0208,14.1961,46.8048,59.9934,0,0,0,0,0,0,0,0,0,0,1.2607,0.2757,124.4478,113.3657,101.176,-8.50098252,40.89703046
0,0,0,0,0,0,0,0,0,140.1184,111.2452,94.1335,1.2376,0.6837,2.0693,0,0,0,0,0,0,0,0,0,2.0906,41.0361,55.9516,1.2376,1.5767,4.5393,0,0,0,0,0,0,0,0,0,0,2.0859,11.6262,0,18.7048,36.5463,0,0,0,0,0,0,0,0,0,1.2376,1.302,3.5373,0,40.5707,45.958,0,0,0,0,0,0,0,0,0,0.0155,0.2086,0.4777,127.5271,101.4742,119.653,-8.50098487,40.89703021
0,0,0,0,0,0,0,0,0,115.881,121.2442,100.7455,1.2376,0.7165,2.8247,0,0,0,0,0,0,0,0,0,2.596,41.0068,56.5845,1.2376,1.5767,4.5393,0,0,0,0,0,0,0,0,0,0,0,9.277,1.3908,18.3465,32.492,0,0,0,0,0,0,0,0,0,1.2376,1.302,4.0916,10.7043,59.5244,51.3161,0,0,0,0,0,0,0,0,0,2.0977,1.1761,0.6104,130.2489,107.9244,92.3727,-8.50098688,40.89702945
0,0,0,0,0,0,0,0,0,116.6681,92.5689,91.5904,1.1548,0.7099,2.3722,0,0,0,0,0,0,0,0,0,1.369,40.4571,53.5827,1.2376,1.5767,4.5393,0,0,0,0,0,0,0,0,0,3.1839,3.2272,17.0946,1.9099,15.362,27.7364,0,0,0,0,0,0,0,0,0,1.2376,1.302,3.9515,3.9305,58.5931,57.2679,0,0,0,0,0,0,0,0,0,1.121,1.2482,1.6716,127.3902,117.3806,109.8017,-8.50098856,40.89702869
0,0,0,0,0,0,0,0,0,84.1182,92.5689,92.0804,1.6414,0.0797,3.6501,0,0,0,0,0,0,0,0,0,2.2806,44.704,54.2903,1.2376,1.5767,4.5393,0,0,0,0,0,0,0,0,0,0,4.5182,13.1932,1.2256,18.2136,34.025,0,0,0,0,0,0,0,0,0,1.2376,1.302,3.6415,12.7098,48.742,72.3061,0,0,0,0,0,0,0,0,0,1.6746,1.3874,0.9169,141.9022,114.3308,83.5913,-8.50099124,40.89702768
0,0,0,0,0,0,0,0,0,62.3298,90.2033,89.7663,0.7473,0,2.2383,0,0,0,0,0,0,0,0,0,1.6582,41.7871,57.6289,1.2376,1.5767,4.5393,0,0,0,0,0,0,0,0,0,2.8201,4.8336,12.435,0.4561,16.8629,22.935,0,0,0,0,0,0,0,0,0,1.2376,1.302,3.2344,9.3224,38.7131,60.9671,0,0,0,0,0,0,0,0,0,0,1.9885,1.2365,144.9394,115.6161,105.0731,-8.50099325,40.89702742
0,0,0,0,0,0,0,0,0,39.2293,76.5561,81.5245,1.2376,0.9986,2.4925,0,0,0,0,0,0,0,0,0,1.6103,40.5351,53.0167,1.2376,1.5767,4.5393,0,0,0,0,0,0,0,0,0,0,5.8226,4.7099,0,16.9347,34.5645,0,0,0,0,0,0,0,0,0,1.2376,1.302,3.5398,4.4485,58.319,67.1592,0,0,0,0,0,0,0,0,0,0,2.0455,1.8622,133.0739,117.4599,98.3054,-8.50099459,40.89702616
0,0,0,0,0,0,0,0,0,19.6888,67.5342,70.7431,1.2376,1.118,3.4407,0,0,0,0,0,0,0,0,0,2.9988,41.6308,49.3264,1.2376,1.5767,4.5393,0,0,0,0,0,0,0,0,0,3.2528,5.2792,15.7726,0,16.2333,30.2258,0,0,0,0,0,0,0,0,0,1.2376,1.302,3.9445,6.144,44.5283,49.3811,0,0,0,0,0,0,0,0,0,1.1655,0.497,2.0937,137.0676,117.7236,113.2803,-8.5009966,40.89702565
