1648661613.45496, sdrt-health/mac:02010b41cdec/antenna/power/set, {"power": 280}
1648661629.637595, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648661629.637765, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648661629.650637, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648661629.650828, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648661629.68759, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648661629.723131, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648661629.776663, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648661629.77726, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648661629.78919, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648661629.802906, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 94
1648661629.852802, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648661629.891897, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648661629.949367, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 94
1648661629.949676, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648661629.963186, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648661629.984189, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648661630.035395, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648661630.035583, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648661630.048806, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648661630.070038, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648661630.130792, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648661630.130961, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648661630.164768, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648661630.191323, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648661630.191513, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648661630.203587, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648661630.498919, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648661630.539285, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648661630.578283, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648661630.57897, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648661630.876274, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648661630.91342, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648661630.965821, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648661630.966014, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648661630.979349, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648661630.993063, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648661631.814107, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648661631.849736, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648661631.875585, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648661631.875743, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648661631.892681, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648661631.945065, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648661631.978463, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648661632.02554, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648661632.02571, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648661632.038103, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648661632.057952, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648661632.107122, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648661632.133279, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
