1648663115.035755, sdrt-health/mac:02010b41cdec/state, online
1648663124.493002, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648663124.493509, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648663124.508359, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648663124.527569, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648663124.556682, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648663124.556954, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648663124.577368, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648663124.626928, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648663124.65639, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648663124.6566, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648663124.65677, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648663124.676843, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648663124.727262, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648663124.756039, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648663124.756271, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648663124.756399, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648663124.778451, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648663124.840925, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648663124.841334, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648663124.855629, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648663124.877528, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
