1648656208.031961, sdrt-health/mac:02010b41cdec/antenna/power/set, {"power": 250}
1648656216.967887, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648656216.968292, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648656216.981333, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648656217.00529, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648656217.055579, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648656217.083221, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648656217.083974, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648656217.09572, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648656217.135104, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648656217.174005, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648656217.226457, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648656217.226896, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648656217.239733, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648656217.240093, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648656217.263771, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648656217.314837, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648656217.376556, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648656217.376721, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648656217.389832, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648656217.390332, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648656217.413606, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 97
1648656217.478751, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648656217.479138, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648656217.491838, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648656217.516818, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648656217.581578, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648656217.58212, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648656217.595414, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648656217.59566, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648656217.629066, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648656217.655644, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648656217.655918, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648656217.69008, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648656217.758133, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648656217.758358, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648656217.771124, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648656217.771418, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648656217.79794, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648656217.849686, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648656217.876307, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648656217.876786, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648656217.894803, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648656217.957901, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648656217.95826, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648656217.97103, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648656218.010087, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648656218.010289, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648656218.059852, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648656218.117741, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648656218.11815, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648656218.131756, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648656218.165464, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648656218.165939, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648656218.179216, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648656218.203708, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648656218.266969, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648656218.267482, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648656218.280489, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648656218.303715, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648656218.353887, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648656218.380657, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648656218.381018, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 97
1648656218.404974, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648656218.43177, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648656218.432132, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648656218.464884, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648656218.527172, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648656218.527873, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648656218.541296, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648656218.54178, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648656218.565697, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648656218.614517, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648656218.641288, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648656218.641638, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648656218.667264, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648656218.694009, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648656218.694214, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
